validation_acc,validation_loss,train_accuracy,train_loss,precision,specificity,f1-score
0.4983388781547546,4.018847942352295,0.7681327160493827,1.135898380017862,0.0,1.0,0.0
0.5116279125213623,1.0013011276721957,0.8213734567901234,0.4364953826113445,0.75,0.9866666793823242,0.0754716992378234
0.565891444683075,1.56435192450881,0.8553240740740741,0.3685320859275213,0.6150943636894226,0.7733333110809326,0.4540390074253082
0.5506644248962402,1.5908904314041137,0.8406635802469136,0.3859691979681573,0.6153846383094788,0.824999988079071,0.38312429189682
0.5727574825286865,1.586674315156415,0.8761574074074074,0.3270516097545624,0.6064638495445251,0.7239999771118164,0.4980483949184418
0.5941306948661804,0.5129544660449028,0.8541666666666666,0.3561187168446982,0.6193103194236755,0.6933333277702332,0.5505824685096741
0.5832937955856323,1.4471796214580537,0.8672839506172839,0.3248766755185476,0.6214382648468018,0.7342857122421265,0.5105908513069153
0.5988371968269348,0.73361252322793,0.8572530864197531,0.3622897419987655,0.629273533821106,0.7108333110809326,0.549440324306488
0.5876707434654236,2.179130184650421,0.8649691358024691,0.3225406662720005,0.629273533821106,0.7429629564285278,0.513289749622345
0.5877076387405396,1.2462692379951477,0.8707561728395061,0.3190196905194259,0.6368260383605957,0.7620000243186951,0.5022062063217163
0.5801872611045837,2.2347034215927124,0.8665123456790124,0.3143041733561492,0.6372846961021423,0.7830303311347961,0.4750755429267883
0.5902547240257263,0.7255668923258781,0.8641975308641975,0.3252368827418583,0.638103187084198,0.7583333253860474,0.5089582204818726
0.5990288853645325,0.6338021799921989,0.8861882716049383,0.2763476707949871,0.6487915515899658,0.7615384459495544,0.5226650238037109
0.5970574021339417,1.3508668780326842,0.8792438271604939,0.2908075030257062,0.6538461446762085,0.7771428823471069,0.5100980997085571
0.6037652492523193,0.7007071986794472,0.8668981481481481,0.3369782926832757,0.666433572769165,0.7879999876022339,0.5158321857452393
0.6029900312423706,2.1107744844164698,0.8819444444444444,0.2862103512374366,0.6478873491287231,0.75,0.5359223484992981
0.6122727990150452,0.5012059278786183,0.8977623456790124,0.2512328599284334,0.6579945683479309,0.7525489926338196,0.5503172874450684
0.6221852898597717,0.4060976937413215,0.8904320987654321,0.2612977969210322,0.667498767375946,0.753333330154419,0.5664054155349731
0.6256338357925415,1.2213798479177058,0.8815586419753086,0.2791313149216698,0.6620659232139587,0.7336841821670532,0.5814271569252014
0.6277408599853516,1.3490616459399465,0.8896604938271605,0.25946409109889,0.6562374830245972,0.7143333554267883,0.5935062766075134
0.6336022615432739,0.5232767462730408,0.8869598765432098,0.2628346250914946,0.6607747077941895,0.7136508226394653,0.6027444005012512
0.6381757855415344,0.7625327497720719,0.8985339506172839,0.2431883186828799,0.6639518141746521,0.7124242186546326,0.6101529598236084
0.6397515535354614,1.1146260797977448,0.9077932098765432,0.2435129871819077,0.6695531606674194,0.7234782576560974,0.6078616380691528
0.6429955959320068,0.7914955373853445,0.902006172839506,0.2317234350413811,0.669258177280426,0.7163888812065125,0.6157055497169495
0.6431893706321716,1.3111939305905254,0.9116512345679012,0.2144102000790398,0.66297847032547,0.6994666457176208,0.6228402853012085
0.6470738649368286,0.6230760844424367,0.9000771604938271,0.2364437852690859,0.663759171962738,0.6935897469520569,0.6307486891746521
0.6468561291694641,1.8671537063026336,0.9074074074074074,0.2254880528624464,0.6582743525505066,0.6782715916633606,0.6362484097480774
0.6430944204330444,3.4570261597633363,0.9185956790123456,0.193660495303026,0.6594354510307312,0.6897618770599365,0.6265209913253784
0.6462366580963135,0.8787623375654221,0.9054783950617284,0.2276844940171009,0.660692036151886,0.6866666674613953,0.6322057843208313
0.6492801904678345,0.6533446580171585,0.910108024691358,0.2313911178853453,0.6616844534873962,0.6831111311912537,0.6378502249717712
0.6523416638374329,0.8814281640574336,0.9128086419753086,0.2051665790197326,0.663110077381134,0.6808602213859558,0.6429672241210938
0.647632896900177,5.012524624400655,0.9309413580246914,0.1857902407646179,0.6527836918830872,0.659583330154419,0.6441602110862732
0.6488472819328308,1.0648839892819524,0.9228395061728396,0.1919012187821109,0.6514077186584473,0.6523232460021973,0.64838707447052
0.644518256187439,4.701844072341919,0.9278549382716048,0.1886993481255159,0.6514783501625061,0.6625490188598633,0.6388006210327148
0.6410061717033386,2.2419708251953123,0.9320987654320988,0.1879634233873064,0.651971697807312,0.6721904873847961,0.6303030252456665
0.6405500173568726,1.793216886195296,0.921682098765432,0.2163213184784825,0.6479170918464661,0.6603703498840332,0.6341004967689514
0.6446978449821472,0.6510941788554192,0.9236111111111112,0.1992113500288347,0.6531379222869873,0.6673873662948608,0.6372720003128052
0.650638222694397,0.3383590124547481,0.9147376543209876,0.2132895533449766,0.6591157913208008,0.672631561756134,0.6435961723327637
0.6469034552574158,4.383405947685242,0.9317129629629628,0.185520948615016,0.6592403054237366,0.6810256242752075,0.6352837681770325
0.6469269394874573,1.90841236114502,0.9309413580246914,0.1901256136777924,0.6601611375808716,0.6836666464805603,0.6343225836753845
0.647030234336853,1.6464650601148605,0.9344135802469136,0.1774209606938245,0.6629372835159302,0.691382110118866,0.6315343976020813
0.650292694568634,0.8925869330763817,0.9317129629629628,0.1692863497428777,0.6675972938537598,0.6976190209388733,0.6338109970092773
0.6513946056365967,1.3495490476605485,0.933256172839506,0.1874025580359668,0.6658295392990112,0.6905426383018494,0.6380555033683777
0.6536544561386108,0.7681767016649246,0.9390432098765432,0.1777722774664076,0.6676993370056152,0.6912121176719666,0.6409955620765686
0.6550756692886353,0.9118139475584032,0.9344135802469136,0.1666333496388865,0.6687331199645996,0.6912592649459839,0.642977237701416
0.6576628684997559,0.6957502648234367,0.9382716049382716,0.1572885443342895,0.6714330315589905,0.6936231851577759,0.6457399129867554
0.6599985957145691,0.8725063588470221,0.9386574074074074,0.1848970408119806,0.6720324754714966,0.6907801628112793,0.6500291228294373
0.6640365719795227,0.3786668144166469,0.9444444444444444,0.1500642439577637,0.6768617033958435,0.6962500214576721,0.6536815166473389
0.6665536761283875,0.7414540648460388,0.9390432098765432,0.1654697964649374,0.6789268851280212,0.6971428394317627,0.6568518280982971
0.6669102907180786,1.2700811157003045,0.9317129629629628,0.1755132967742478,0.6768437027931213,0.690933346748352,0.6595123410224915
0.6702495217323303,0.5450789224356413,0.9459876543209876,0.1470313980357676,0.6795482635498047,0.6921568512916565,0.6636545062065125
0.6732686161994934,0.5174296837300062,0.9463734567901234,0.1408846292917321,0.6821932196617126,0.6938461661338806,0.6671872735023499
0.670845627784729,3.0301334619522096,0.939429012345679,0.1415850564655734,0.6827842593193054,0.699622631072998,0.6619020104408264
0.6720806956291199,0.688178950548172,0.9340277777777778,0.1778815951107478,0.6844305396080017,0.7017284035682678,0.6628715991973877
0.6739957928657532,0.9568084323313087,0.9425154320987654,0.1534113128919427,0.6847991943359375,0.6993939280509949,0.6662957072257996
0.6741219758987427,1.5258884115610272,0.9475308641975309,0.1474499574339971,0.6826982498168945,0.6936904788017273,0.6683972477912903
0.6712712049484253,6.1519828081130985,0.9498456790123456,0.1318904966479394,0.6828546524047852,0.699064314365387,0.6626794338226318
0.6714972853660583,1.950815561413765,0.9502314814814816,0.1265949765447436,0.6848929524421692,0.7039080262184143,0.6613122224807739
0.6691818237304688,5.1669857442379,0.9486882716049384,0.1462507988439827,0.6853163838386536,0.7089265584945679,0.65633225440979
0.6691029667854309,2.745272124186158,0.9510030864197532,0.134157391310465,0.6871813535690308,0.7136666774749756,0.6545265316963196
0.6701704859733582,1.1190096208825708,0.9436728395061728,0.1472057239947522,0.6863555908203125,0.7098360657691956,0.6573885679244995
0.6674525737762451,9.238588523864744,0.9525462962962964,0.1277189669085712,0.6800137162208557,0.698387086391449,0.6576566696166992
0.6657701730728149,3.813149162398284,0.9567901234567902,0.1173187239867885,0.6754337549209595,0.6892063617706299,0.6585497260093689
0.6664243936538696,1.614523935347097,0.9517746913580248,0.1464847720614293,0.6743109226226807,0.6848958134651184,0.6609328985214233
0.6657807230949402,2.385551908612251,0.929783950617284,0.1793771523800565,0.6756380200386047,0.6897435784339905,0.6583772897720337
0.6637471318244934,5.449185195565224,0.9459876543209876,0.1486618690556142,0.6759854555130005,0.6944444179534912,0.653921902179718
0.6629146337509155,2.548561961545784,0.9618055555555556,0.1030200666679841,0.672774612903595,0.6872636675834656,0.6553087830543518
0.6627907156944275,2.2768377750646325,0.9598765432098766,0.1157402302842678,0.6706896424293518,0.6816666722297668,0.6570945978164673
0.6638740301132202,0.9375815376639366,0.9552469135802468,0.1228091740844453,0.6729724407196045,0.6859903335571289,0.6570712924003601
0.6627907156944275,3.0017897725105285,0.9583333333333334,0.1100870262740588,0.6738585233688354,0.6904761791229248,0.6540053486824036
0.6636563539505005,1.6490415943786505,0.9540895061728396,0.1228872554422151,0.6759988069534302,0.6946479082107544,0.6537238359451294
0.6665282249450684,0.3839132115244865,0.9583333333333334,0.1119994934557414,0.6788342595100403,0.6969444155693054,0.6568864583969116
0.6648159027099609,4.508063519001007,0.9494598765432098,0.146520434810621,0.6792434453964233,0.7010958790779114,0.6530362367630005
0.6660231947898865,1.0506127774715424,0.9467592592592592,0.14582925744173,0.6802780032157898,0.7016215920448303,0.6545302271842957
0.6675083041191101,0.8018133759498596,0.9544753086419752,0.1166989082334245,0.6818051934242249,0.7029333114624023,0.6561297178268433
0.6685172319412231,1.315183483809233,0.9614197530864198,0.1049246688759545,0.6837534308433533,0.7061403393745422,0.6563958525657654
0.6668248772621155,3.6117128014564512,0.9560185185185184,0.1131366307551904,0.6841112971305847,0.709956705570221,0.6526628136634827
0.6681573987007141,1.0082553033949808,0.966820987654321,0.096972201201247,0.6841910481452942,0.7078632712364197,0.6552807688713074
0.6684889793395996,1.244707000255585,0.9618055555555556,0.11720551570832,0.6857326626777649,0.7111392617225647,0.6545725464820862
0.6684385538101196,1.6815879268280696,0.9521604938271604,0.1354296408230211,0.6837760210037231,0.706333339214325,0.6562176942825317
0.6706041693687439,0.5779561568051577,0.952932098765432,0.1267804500942186,0.6866334676742554,0.7097942233085632,0.6580079197883606
0.6723523139953613,0.6374834716320038,0.9602623456790124,0.1150656354318304,0.6886253952980042,0.7117885947227478,0.659738302230835
0.6743785738945007,0.5083003312349319,0.9583333333333334,0.1056421010686857,0.6912173628807068,0.7147791385650635,0.6615070700645447
0.6749722957611084,2.4155510343945936,0.9591049382716048,0.1084858513005623,0.6903017163276672,0.7115873098373413,0.663444995880127
0.6769200563430786,0.6113171674311161,0.9652777777777778,0.1074755539572457,0.6928010582923889,0.7145097851753235,0.6651272177696228
0.677972674369812,0.8592097319313325,0.945216049382716,0.1458069509940176,0.6926901936531067,0.7125581502914429,0.6672521233558655
0.6791155934333801,0.9836042657494544,0.953317901234568,0.1361577157158313,0.6944307684898376,0.7149425148963928,0.6680099368095398
0.6798550486564636,1.4545181943452916,0.9702932098765432,0.098301559232357,0.6940274238586426,0.7128030061721802,0.6697562336921692
0.6783381104469299,4.2004985332489015,0.964891975308642,0.0970467475027118,0.6943727731704712,0.716029942035675,0.6665634512901306
0.6799926161766052,0.7536244858056307,0.9594907407407408,0.1075402492566443,0.6954483985900879,0.7160000205039978,0.6688567399978638
0.6824869513511658,0.3395845651626586,0.964891975308642,0.1085786977555693,0.6977108716964722,0.7175091505050659,0.67177414894104
0.683915913105011,0.5355258896946907,0.964506172839506,0.1071504441703238,0.6999143958091736,0.7205072641372681,0.6727238893508911
0.6839209794998169,2.409977877868408,0.9672067901234568,0.098577990537373,0.6982975602149963,0.7167025208473206,0.6740107536315918
0.682052731513977,9.62733278274536,0.9594907407407408,0.1045823708494625,0.698366641998291,0.7197163105010986,0.6704279184341431
0.6835460662841797,0.5739816643297673,0.9618055555555556,0.0999923204866851,0.7003026008605957,0.7219648957252502,0.6717213988304138
0.6850775480270386,0.6066572289913893,0.964891975308642,0.1040212928385632,0.701103150844574,0.7215277552604675,0.6739753484725952
0.6862691640853882,0.5833890438079834,0.9672067901234568,0.0928456405768307,0.7030267119407654,0.7241924405097961,0.6747159361839294
0.6878432631492615,0.6115606486797333,0.9664351851851852,0.0874260134268097,0.7050623893737793,0.7265306115150452,0.6760939955711365
0.6892513036727905,0.6128685601055622,0.961033950617284,0.1180640534475082,0.7070383429527283,0.7289562225341797,0.6772169470787048
0.6893687844276428,1.9331317980308085,0.9702932098765432,0.0858253668993711,0.7057098150253296,0.7257999777793884,0.6784289479255676
0.6911943554878235,0.6512562844902277,0.964506172839506,0.1049175705851578,0.7078341245651245,0.7279868125915527,0.6802016496658325
0.6914858818054199,1.3568192958948202,0.9602623456790124,0.1207483701930358,0.7068219780921936,0.7252941131591797,0.6814849972724915
0.6934167742729187,0.378285214677453,0.9556327160493828,0.1230808948280244,0.7089840769767761,0.7274433374404907,0.6834093928337097
0.6932660341262817,2.32536189268576,0.960648148148148,0.1126917303289945,0.7072972059249878,0.7238461375236511,0.684373140335083
0.6941623091697693,1.521738426631964,0.9602623456790124,0.1078955069774898,0.7073366641998291,0.7226666808128357,0.6859649419784546
0.6935059428215027,2.895652085542679,0.964506172839506,0.1064297727524961,0.7080520987510681,0.7252201437950134,0.6842530369758606
0.6949731707572937,0.5259874824434518,0.9672067901234568,0.0956890268660173,0.7091894149780273,0.7257320880889893,0.6860740184783936
0.6963208913803101,1.1879969792440537,0.9714506172839508,0.0852281641010649,0.7110440731048584,0.7280247211456299,0.6871593594551086
0.6970953345298767,0.7675849318504333,0.9733796296296297,0.0784970872195028,0.7121202349662781,0.7293577790260315,0.6877788305282593
0.6980670690536499,1.1246259591542185,0.9633487654320988,0.0968433732802911,0.7128419876098633,0.7296363711357117,0.6890029311180115
0.6978539824485779,2.1415837526321413,0.9737654320987654,0.0830995285338381,0.7137908935546875,0.7320120334625244,0.6879540085792542
0.6994838714599609,0.380637905979529,0.9718364197530864,0.0846313822492048,0.7150923013687134,0.7326785922050476,0.6899464130401611
0.7007026672363281,0.6880840882658958,0.9718364197530864,0.075849638309148,0.715781569480896,0.7325663566589355,0.6916272640228271
0.7009966969490051,1.8177424509078264,0.9753086419753086,0.0684421388744717,0.7150810360908508,0.7306432723999023,0.6926302909851074
0.7021233439445496,1.0160834413021802,0.9675925925925926,0.0929293929508364,0.7160622477531433,0.7313043475151062,0.6939356923103333
0.7030873894691467,0.7463333501596935,0.972608024691358,0.0935100517973939,0.71630859375,0.7305747270584106,0.6954554915428162
0.7042905688285828,0.628306932747364,0.972993827160494,0.0841002064961485,0.7179256081581116,0.7325356006622314,0.6964556574821472
0.705726683139801,0.4653556730598211,0.964506172839506,0.1010785639831205,0.719095766544342,0.7332203388214111,0.6981633305549622
0.7071666121482849,0.560992144048214,0.9691358024691358,0.0843336596153676,0.7208574414253235,0.7351820468902588,0.6994814276695251
0.708361029624939,0.6207688827998936,0.9753086419753086,0.0689034409673384,0.7215796113014221,0.7352222204208374,0.7010613679885864
0.7092337012290955,0.9227418422698974,0.976466049382716,0.0739985126320545,0.7230903506278992,0.7373553514480591,0.7015724778175354
0.7090027928352356,1.480107843875885,0.9718364197530864,0.0827580080821928,0.7239462733268738,0.7394535541534424,0.7006219625473022
0.7098290324211121,1.326422278076643,0.964506172839506,0.0936741250249125,0.7240471839904785,0.7386449575424194,0.7019724249839783
0.7108026742935181,0.8402764170430601,0.972993827160494,0.0738013351986343,0.7255147099494934,0.7405376434326172,0.70269376039505
0.7109369039535522,1.1275008669355884,0.9702932098765432,0.0807200235700825,0.7245270013809204,0.7382933497428894,0.7035542726516724
0.7125454545021057,0.3872260063886642,0.9699074074074074,0.0819888820122109,0.7260182499885559,0.739470899105072,0.7053354382514954
0.7129516005516052,1.3739082126150606,0.9675925925925926,0.1025215596778363,0.7255085110664368,0.7379002571105957,0.7063452005386353
0.7143376469612122,0.4881399407982826,0.9733796296296297,0.0827643556588488,0.7270792126655579,0.7395312786102295,0.707691490650177
0.7158567309379578,0.3905462469905615,0.972608024691358,0.071666900221849,0.7286410331726074,0.740981936454773,0.7092676758766174
0.7168412804603577,0.9843932824187503,0.9691358024691358,0.0888422647513812,0.7290260195732117,0.7406153678894043,0.7106747627258301
